,name,ncaa_name,reference_name,logos,conference,conference_2,url_conference,primary,secondary,tertiary,quaternary,background,border
327,USC Upstate,USC Upstate,South Carolina Upstate,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/usc-upstate.svg,Big South,Big South,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png,#00703C,#000000,,,#0082cc,#ec7422
328,UT Arlington,UT Arlington,Texas-Arlington,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-arlington.svg,Sunbelt,Sunbelt,https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png,#F58025,#0064B1,,,#205296,#F3BA44
329,UT Martin,UT Martin,Tennessee-Martin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ut-martin.svg,OVC,OVC,https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png,#002649,#F77F00,,,#a51341,#000000
330,Utah Utes,Utah,Utah,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah.svg,Pac-12,Pac-12,https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png,#CC0000,#808080,#000000,,#1d4b8c,#000000
331,Utah State Aggies,Utah St.,Utah State ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah-st.svg,Mountain West,MWC,https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png,#0F2439,#ffffff,#9D968D,#000000,#4a317a,#AFAFAF
332,Utah Valley Wolverines,Utah Valley,Utah Valley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah-valley.svg,WAC,WAC,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png,#275D38,#000000,#8E8C89,,#98002e,#d9d4cc
333,UTEP,UTEP,Texas-El Paso,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utep.svg,C-USA,C-USA,https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png,#FF8200,#041E42,#B1B3B3,,#003865,#A6192E
334,UTRGV Vaqueros,UTRGV,Texas-Rio Grande Valley,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utrgv.svg,WAC,WAC,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Western_Athletic_Conference_Logo.svg/250px-Western_Athletic_Conference_Logo.svg.png,#FFA300,#F05023,#00843D,#0C2340,#98002e,#d9d4cc
335,UTSA,UTSA,Texas-San Antonio,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utsa.svg,C-USA,C-USA,https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png,#F15A22,#0C2340,,,#003865,#A6192E
336,Valparaiso Crusaders,Valparaiso,Valparaiso,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/valparaiso.svg,MVC,MVC,https://sportslogohistory.com/wp-content/uploads/2018/03/missouri_valley_conference_logo.png,#381E0E,#613318,#FFCC00,,#e51636,#18468b
337,Vanderbilt Commodores,Vanderbilt,Vanderbilt,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vanderbilt.svg,SEC,SEC,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png,#000000,#866D4B,,,#264279,#F8D366
338,VCU,VCU,Virginia Commonwealth ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vcu.svg,Atlantic 10,A-10,https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png,#FFB300,#000000,,,#cf352a,#000000
339,Vermont Catamounts,Vermont,Vermont,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vermont.svg,America East,Am. East,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png,#154734,#8B5B29,#FFC72C,#C6AA76,#141b4d,#00b5e2
340,Villanova Wildcats,Villanova,Villanova ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/villanova.svg,Big East,Big East,https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png,#00205B,#13B5EA,#8B634B,,#163e79,#DA3742
341,Virginia Cavaliers,Virginia,Virginia ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia.svg,ACC,ACC,https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png,#232D4B,#F84C1E,#ffffff,,#204c88,#A8A9AB
342,Virginia Tech Hokies,Virginia Tech,Virginia Tech ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/virginia-tech.svg,ACC,ACC,https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png,#630031,#CF4420,,,#204c88,#A8A9AB
343,VMI,VMI,VMI,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vmi.svg,SoCon,SoCon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png,#AE122A,#FFD619,,,#001489,#da291c
344,Wagner,Wagner,Wagner,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wagner.svg,NEC,NEC,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png,#004331,#ffffff,,,#0d67a4,#231f20
345,Wake Forest Demon Deacons,Wake Forest,Wake Forest,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wake-forest.svg,ACC,ACC,https://sportslogohistory.com/wp-content/uploads/2017/12/atlantic_coast_conference_2014-pres.png,#A67F31,#000000,,,#204c88,#A8A9AB
